"member_id","org_id","first_name","last_name","role","membership_tier","join_date","renewal_date","is_active"
1,861,"James","Brown","Practice Owner","Standard",2017-08-07 00:33:18,2018-08-07 00:33:18,1
2,3773,"Laura","Smith","Practice Manager","Standard",2017-07-25 05:38:32,2018-07-25 05:38:32,1
3,3093,"James","Smith","Administrator","Premium",2017-04-12 09:56:01,2018-04-12 09:56:01,0
4,467,"John","Anderson","IT/Operations","Standard",2018-03-03 23:51:37,2019-03-03 23:51:37,1
5,4427,"David","Garcia","Practice Manager","Basic",2018-04-13 14:59:29,2019-04-13 14:59:29,1
6,3445,"Maria","Johnson","Billing Specialist","Standard",2020-10-06 04:19:13,2021-10-06 04:19:13,1
7,3172,"James","Brown","Administrator","Basic",2021-11-07 20:05:25,2022-11-07 20:05:25,1
8,2920,"Alex","Johnson","Billing Specialist","Basic",2022-09-21 03:35:53,2023-09-21 03:35:53,1
9,131,"Chris","Lee","Practice Manager","Premium",2019-09-20 07:00:11,2020-09-20 07:00:11,1
10,1686,"Alex","Johnson","IT/Operations","Standard",2024-08-15 09:57:56,2025-08-15 09:57:56,0
11,770,"Linda","Davis","Practice Owner","Premium",2019-02-01 12:26:43,2020-02-01 12:26:43,1
12,2392,"John","Davis","IT/Operations","Basic",2020-10-20 11:38:49,2021-10-20 11:38:49,1
13,2434,"Maria","Wilson","Billing Specialist","Basic",2023-07-03 11:50:10,2024-07-03 11:50:10,1
14,1185,"Ana","Johnson","Front Desk","Basic",2017-02-23 02:53:10,2018-02-23 02:53:10,1
15,4556,"Chris","White","Billing Specialist","Basic",2018-07-09 15:33:11,2019-07-09 15:33:11,1
16,3386,"James","Wilson","Front Desk","Basic",2024-03-26 21:27:31,2025-03-26 21:27:31,1
17,4118,"Alex","Davis","Billing Specialist","Basic",2016-08-25 07:32:19,2017-08-25 07:32:19,1
18,4844,"Laura","Wilson","Front Desk","Basic",2018-03-17 10:18:08,2019-03-17 10:18:08,1
19,2905,"Linda","Lee","Administrator","Basic",2020-02-19 17:57:04,2021-02-19 17:57:04,1
20,475,"Laura","Smith","Front Desk","Premium",2023-05-07 06:39:49,2024-05-07 06:39:49,1
21,1083,"David","Wilson","Practice Manager","Standard",2019-03-01 23:32:51,2020-03-01 23:32:51,1
22,2559,"Maria","Martinez","Billing Specialist","Basic",2021-02-14 20:03:03,2022-02-14 20:03:03,0
23,2048,"Linda","White","Billing Specialist","Basic",2023-07-04 09:27:32,2024-07-04 09:27:32,1
24,2748,"Linda","Anderson","Billing Specialist","Basic",2021-01-18 11:10:45,2022-01-18 11:10:45,1
25,976,"David","Johnson","Billing Specialist","Basic",2023-04-07 09:24:05,2024-04-07 09:24:05,1
26,1807,"John","Brown","Practice Owner","Premium",2020-08-27 23:21:00,2021-08-27 23:21:00,1
27,190,"Ana","Brown","Billing Specialist","Standard",2024-09-25 08:12:09,2025-09-25 08:12:09,1
28,2735,"Chris","Martinez","Practice Owner","Standard",2019-12-06 08:00:12,2020-12-06 08:00:12,1
29,3006,"Linda","Johnson","Administrator","Standard",2024-10-14 02:14:38,2025-10-14 02:14:38,1
30,4659,"Ana","Johnson","Billing Specialist","Basic",2023-06-13 18:30:31,2024-06-13 18:30:31,1
